Libelle_point_arret;A;B;C;D;E;H;J;K;L;N;P;R;U
ANGERVILLE;;;1;;;;;;;;;;
PIERREFITTE STAINS;;;;1;;;;;;;;;
AUBER;1;;;;;;;;;;;;
CHANGIS SAINT-JEAN;;;;;;;;;;;1;;
CLICHY LEVALLOIS;;;;;;;;;1;;;;
CREPY EN VALOIS;;;;;;;;1;;;;;
SAINT-QUENTIN EN YVELINES;;;1;;;;;;;1;;;1
SURVILLIERS FOSSES;;;;1;;;;;;;;;
BOURG LA REINE;;1;;;;;;;;;;;
ARCUEIL CACHAN;;1;;;;;;;;;;;
ISLES ARMENTIERES CONGIS;;;;;;;;;;;1;;
CHAVILLE RIVE DROITE;;;;;;;;;1;;;;
BOIS COLOMBES;;;;;;;1;;;;;;
TAVERNY;;;;;;1;;;;;;;
VERNON;;;;;;;1;;;;;;
VERSAILLES CHANTIERS;;;1;;;;;;;1;;;1
VILLIERS SUR MARNE PLESSIS TREVISE;;;;;1;;;;;;;;
MAROLLES EN HUREPOIX;;;1;;;;;;;;;;
PALAISEAU;;1;;;;;;;;;;;
GROS NOYER SAINT-PRIX;;;;;;1;;;;;;;
NEMOURS SAINT-PIERRE;;;;;;;;;;;;1;
VIROFLAY RIVE DROITE;;;;;;;;;1;;;;
CHAMPBENOIST POIGNY;;;;;;;;;;;1;;
NOISY LE ROI;;;;;;;;;1;;;;
MAURECOURT;;;;;;;1;;;;;;
PONTOISE;;;1;;;1;1;;;;;;
PUTEAUX;;;;;;;;;1;;;;1
ESSONNES ROBINSON;;;;1;;;;;;;;;
LIEUSAINT MOISSY;;;;1;;;;;;;;;
INVALIDES;;;1;;;;;;;;;;
SAINT-LEU D ESSERENT;;;;;;1;;;;;;;
LA GRANDE PAROISSE;;;;;;;;;;;;1;
GROSLAY;;;;;;1;;;;;;;
LIMAY;;;;;;;1;;;;;;
LA NORVILLE SAINT-GERMAIN LES ARPAJON;;;1;;;;;;;;;;
PARIS AUSTERLITZ (GARE D'AUSTERLITZ);;;1;;;;;;;;;;
NOISY LE GRAND MONT D'EST;1;;;;;;;;;;;;
SAINT-MARTIN D ETAMPES;;;1;;;;;;;;;;
CRETEIL POMPADOUR;;;;1;;;;;;;;;
VINCENNES;1;;;;;;;;;;;;
VILLEPREUX LES CLAYES;;;;;;;;;;1;;;
VILLENNES SUR SEINE;;;;;;;1;;;;;;
VAL D'ARGENTEUIL;;;;;;;1;;;;;;
VILLAINES;;;;;;1;;;;;;;
CERGY PREFECTURE;1;;;;;;;;1;;;;
ASNIERES SUR SEINE;;;;;;;1;;1;;;;
LE VESINET LE PECQ;1;;;;;;;;;;;;
LA FERTE ALAIS;;;;1;;;;;;;;;
BRY SUR MARNE;1;;;;;;;;;;;;
SCEAUX;;1;;;;;;;;;;;
VOSVES;;;;1;;;;;;;;;
BRUNOY;;;;1;;;;;;;;;
LA BARRE ORMESSON;;;;;;1;;;;;;;
BONDY;;;;;1;;;;;;;;
JOUY SUR MORIN CHAMPGOULIN;;;;;;;;;;;1;;
